code,code_two,latin_name,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
BP,Native,Betula pendula,Native,Deciduous,55.963467,-3.208183,60,30,U,39.8,70.4617,0.4697,11.16,-1.01,3.88,77.27,
BP,Native,Betula pendula,Native,Deciduous,55.963467,-3.208183,60,30,L,43.2,54.3723,0.3446,14.21,-1.44,6.04,65.56,
BP,Native,Betula pendula,Native,Deciduous,55.963467,-3.208183,60,30,L,43.2,48.5914,0.2627,12.44,-1.35,5.93,78.97,
BP,Native,Betula pendula,Native,Deciduous,55.963467,-3.208183,60,30,L,46.5,47.1358,0.2586,13.73,-0.93,6.13,67.48,
BPS,Native,Betula pubescens,Native,Deciduous,55.96365,-3.208167,47,27.5,U,53.9,56.7663,0.3995,17.66,-0.31,8.33,67.73,
BPS,Native,Betula pubescens,Native,Deciduous,55.96365,-3.208167,47,27.5,U,52.3,61.692,0.2591,15.37,0.04,7.33,80.59,
BPS,Native,Betula pubescens,Native,Deciduous,55.96365,-3.208167,47,27.5,U,55.3,55.0628,0.3676,14.79,-0.2,7.14,86.18,
BPS,Native,Betula pubescens,Native,Deciduous,55.96365,-3.208167,47,27.5,L,49.3,68.3329,0.4077,16.26,0.45,4.66,73.63,
BPS,Native,Betula pubescens,Native,Deciduous,55.96365,-3.208167,47,27.5,L,48.2,66.2417,0.3761,15.45,0.38,3.95,86.09,
BPS,Native,Betula pubescens,Native,Deciduous,55.96365,-3.208167,47,27.5,L,49.5,64.4431,0.3015,14.27,0.4,3.7,59.25,
CA,Native,Corylus avellana,Native,Deciduous,55.963817,-3.208217,120,26.5,U,44.7,83.4937,0.4204,16.06,0.71,8.56,79.39,
CA,Native,Corylus avellana,Native,Deciduous,55.963817,-3.208217,120,26.5,U,47.9,67.5309,0.4119,12.22,0.36,6.95,61.99,
CA,Native,Corylus avellana,Native,Deciduous,55.963817,-3.208217,120,26.5,U,50.3,85.9297,0.3107,15.08,-0.18,7.15,57.02,
CA,Native,Corylus avellana,Native,Deciduous,55.963817,-3.208217,120,26.5,L,39.5,55.941,0.4025,13.83,-0.01,5.68,72.06,
CA,Native,Corylus avellana,Native,Deciduous,55.963817,-3.208217,120,26.5,L,39.1,53.9999,0.4996,15.33,0.22,6.92,67.2,
CA,Native,Corylus avellana,Native,Deciduous,55.963817,-3.208217,120,26.5,L,32.8,52.8365,0.3224,8.64,0.38,4.43,72.55,
CM,Native,Crataegus monogyna,Native,Deciduous,55.966417,-3.212567,19,8,U,46.3,44.0508,0.4322,11.05,-1.56,5.66,69.19,
CM,Native,Crataegus monogyna,Native,Deciduous,55.966417,-3.212567,19,8,U,41.1,48.5455,0.546,13.77,-1.43,5.33,68.58,
CM,Native,Crataegus monogyna,Native,Deciduous,55.966417,-3.212567,19,8,U,42.1,47.4608,0.47,13.95,-1.15,5.19,69.85,
CM,Native,Crataegus monogyna,Native,Deciduous,55.966417,-3.212567,19,8,L,38.9,42.6684,0.4347,8.25,-1.56,6,64.68,
CM,Native,Crataegus monogyna,Native,Deciduous,55.966417,-3.212567,19,8,L,34.3,39.6968,0.3549,7.44,-1.11,7.53,67,
CM,Native,Crataegus monogyna,Native,Deciduous,55.966417,-3.212567,19,8,L,37.4,35.8114,0.3308,8.79,-1.08,6.51,68.1,
EE,Native,Euonymous europaeus,Native,Deciduous,55.963383,-3.2092,15,5.3,U,38.8,61.0075,0.303,12.51,0.58,6.58,69.52,
EE,Native,Euonymous europaeus,Native,Deciduous,55.963383,-3.2092,15,5.3,U,40.1,64.9365,0.278,13.51,0.36,5.42,57.91,
EE,Native,Euonymous europaeus,Native,Deciduous,55.963383,-3.2092,15,5.3,U,40,63.5056,0.4606,10.16,0.31,7.94,61.8,
EE,Native,Euonymous europaeus,Native,Deciduous,55.963383,-3.2092,15,5.3,L,43.2,69.1194,0.2927,10.89,-0.34,5.35,59.27,
