code,code_two,latin_name,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
PCB,Naturalised,Pyrus cerasus Beth,Naturalised,Deciduous,55.966583,-3.211867,12,6.5,U,33.7,73.9094,0.3679,14.82,0.32,4.24,62.29,
PCB,Naturalised,Pyrus cerasus Beth,Naturalised,Deciduous,55.966583,-3.211867,12,6.5,U,32.2,75.305,0.4526,11.04,0.19,5.77,57.55,
PCB,Naturalised,Pyrus cerasus Beth,Naturalised,Deciduous,55.966583,-3.211867,12,6.5,U,31.6,80.4392,0.3613,13.32,0.33,5.34,89.05,
PCB,Naturalised,Pyrus cerasus Beth,Naturalised,Deciduous,55.966583,-3.211867,12,6.5,L,46.1,96.3956,0.4436,14.84,-0.93,6.88,59.72,
PCB,Naturalised,Pyrus cerasus Beth,Naturalised,Deciduous,55.966583,-3.211867,12,6.5,L,44.7,98.3193,0.3633,12.37,-1.17,5.04,77.68,
PCB,Naturalised,Pyrus cerasus Beth,Naturalised,Deciduous,55.966583,-3.211867,12,6.5,L,47.8,102.7574,0.4446,11.34,-1.09,5.82,56.23,
PCD,Naturalised,Prunus cerasifera Diversifolia,Naturalised,Deciduous,55.96285,-3.211533,79,17.5,U,40.6,74.0016,0.3719,7.2,0.48,5.97,68.83,
PCD,Naturalised,Prunus cerasifera Diversifolia,Naturalised,Deciduous,55.96285,-3.211533,79,17.5,U,51.8,83.8397,0.3985,6.92,0.08,6.9,82.35,
PCD,Naturalised,Prunus cerasifera Diversifolia,Naturalised,Deciduous,55.96285,-3.211533,79,17.5,U,47.8,85.4853,0.456,7.92,0.28,6.94,85.3,
PCD,Naturalised,Prunus cerasifera Diversifolia,Naturalised,Deciduous,55.96285,-3.211533,79,17.5,L,45.5,62.6399,0.3526,6.99,-1.12,4.23,73.11,
PCD,Naturalised,Prunus cerasifera Diversifolia,Naturalised,Deciduous,55.96285,-3.211533,79,17.5,L,51.8,58.3378,0.3897,8.18,-0.42,5.87,74.27,
PCD,Naturalised,Prunus cerasifera Diversifolia,Naturalised,Deciduous,55.96285,-3.211533,79,17.5,L,48.7,52.3491,0.2803,7.43,-0.07,4.5,83.06,
PCM,Naturalised,Prunus creases Morello,Naturalised,Deciduous,55.966467,-3.211717,11,3.5,U,42.6,96.3956,0.3784,7.58,-1.14,8.6,63.41,
PCM,Naturalised,Prunus creases Morello,Naturalised,Deciduous,55.966467,-3.211717,11,3.5,U,42.5,89.1229,0.4012,8.06,-1.41,4.78,58.39,
PCM,Naturalised,Prunus creases Morello,Naturalised,Deciduous,55.966467,-3.211717,11,3.5,U,41.3,100.2111,0.3802,8.01,-1.29,7.02,91.16,
PCM,Naturalised,Prunus creases Morello,Naturalised,Deciduous,55.966467,-3.211717,11,3.5,L,47.7,79.7153,0.3541,8.25,-1.39,4.57,72.87,
PCM,Naturalised,Prunus creases Morello,Naturalised,Deciduous,55.966467,-3.211717,11,3.5,L,45.3,82.3871,0.4208,9.38,-1.42,3.73,93.02,
PCM,Naturalised,Prunus creases Morello,Naturalised,Deciduous,55.966467,-3.211717,11,3.5,L,47.4,91.6578,0.3504,8.45,-1.44,3.85,73.66,
QRR,Naturalised,Quercus rubra,Naturalised,Deciduous,55.965767,-3.211333,54,77,U,43.9,55.5703,0.466,12.85,0.9,7.84,60.37,
QRR,Naturalised,Quercus rubra,Naturalised,Deciduous,55.965767,-3.211333,54,77,U,45.4,60.8201,0.2973,11.07,0.34,5.41,79.21,
QRR,Naturalised,Quercus rubra,Naturalised,Deciduous,55.965767,-3.211333,54,77,U,44.6,53.1132,0.3716,9.69,0.45,8.42,71.46,
QRR,Naturalised,Quercus rubra,Naturalised,Deciduous,55.965767,-3.211333,54,77,L,42.2,42.2076,0.4631,10.65,-0.8,4.96,54.32,
QRR,Naturalised,Quercus rubra,Naturalised,Deciduous,55.965767,-3.211333,54,77,L,42.9,51.4454,0.5208,12.23,-0.35,4.39,71.39,
QRR,Naturalised,Quercus rubra,Naturalised,Deciduous,55.965767,-3.211333,54,77,L,41.4,45.1345,0.4908,9.82,0.06,5.56,72.75,
